chembl_id,smiles,standard_value,bioactivity
CHEMBL3113570,O=C1NCCn2c(-c3ccc(OCc4cn(CCF)nn4)cc3)nc3cccc1c32,22.1,active
CHEMBL3113565,NC(=O)c1cccc2[nH]c(-c3ccc(OCCF)cc3)nc12,10.8,active
CHEMBL520574,CC(Oc1ccccc1)C(=O)N1CCN(C(=O)c2cccc(COc3ccccc3C(N)=O)c2)CC1,36.0,active
CHEMBL250851,Cc1cccc2c(=O)[nH]c(C3=CC(N4CCN(c5ccc(Cl)cc5)CC4)CC3)nc12,12.0,active
CHEMBL400343,O=c1[nH]c(C2=CC(N3CCN(c4ccc(Cl)cc4)CC3)CC2)nc2ccccc12,25.0,active
CHEMBL250850,Cc1cccc2c(=O)[nH]c(C3=CC(N4CCC(c5ccc(Cl)cc5)CC4)CC3)nc12,46.0,active
CHEMBL1935254,O=C(CN1CCOCC1)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,13.0,active
CHEMBL1935273,CC(C)(C)OC(=O)C1CCCN1C(=O)CCC(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,7.0,active
CHEMBL249026,O=c1[nH]c(C2=CC(N3CC=C(c4ccc(F)cc4)CC3)CC2)nc2c(Cl)cccc12,36.0,active
CHEMBL598138,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(C)CCCO4)CC3)c2)n[nH]c(=O)c1C,2.8,active
CHEMBL2407970,CCOc1cc(CN2CCN(c3ccc(C(=O)NC4CC4)cc3C)CC2)cc2c1OC(C)C(=O)N2,41.0,active
CHEMBL2407985,Cc1cc(C(=O)NC2CC2)ccc1N1CCN(Cc2cc(C)c3c(c2)NC(=O)C(C)O3)CC1,52.0,active
CHEMBL381821,CCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,15.0,active
CHEMBL202833,O=C(NCCc1cccs1)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,8.0,active
CHEMBL3740104,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,1.0,active
CHEMBL194416,CC1=NC2CCSCC2C(=O)N1,467.0,active
CHEMBL2347907,CN1CCC(c2nc3c(C(N)=O)cncc3[nH]2)CC1,1452.0,intermediate
CHEMBL339586,O=C1NC(=O)c2cccc3cccc1c23,1400.0,intermediate
