chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL564505,CN1CCCN(C(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)CC1,58.0,active,369.4690000000002,1.3433999999999995,3.0,3.0
CHEMBL250490,O=c1[nH]c(CCCN2CCC(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,47.0,active,399.8970000000002,4.527800000000004,1.0,3.0
CHEMBL250023,O=c1[nH]c(C2CCC(N3CC=C(c4ccccc4)CC3)CC2)nc2ccccc12,8400.0,intermediate,385.5110000000002,4.738600000000004,1.0,3.0
CHEMBL1767049,Cc1ccc(C(=O)Nc2cccc3c(=O)[nH]ccc23)cc1,13400.0,inactive,278.31100000000004,3.088820000000001,2.0,2.0
CHEMBL592230,CCC1(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c(C)c4C)ccc3F)CC2)CCCN1,3.8,active,469.5610000000004,1.9332399999999994,2.0,5.0
CHEMBL480428,N#Cc1ccc(-c2cnc3c(C(N)=O)cccc3c2)cc1,27000.0,inactive,273.29499999999996,2.8723800000000006,1.0,3.0
CHEMBL562117,COc1cc(-c2cc3[nH]c(=O)c4ccccc4n3n2)cc(OC)c1OC,30.0,active,351.36200000000014,2.8686000000000007,1.0,6.0
CHEMBL3606024,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(Cl)(Cl)CC3)CC1)C2,90.0,active,428.33500000000026,3.4613000000000023,1.0,3.0
CHEMBL3427055,O=C(O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,3.8,active,321.38,3.1907000000000014,2.0,4.0
CHEMBL3764811,CN(C)Cc1ccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccc(CN(C)C)cc2)cc1,3.89,active,453.5900000000002,4.345000000000003,2.0,5.0
CHEMBL2322617,O=C(CN1CCc2cccc3c2C1CNC3=O)NC(Cc1ccccc1)C(=O)N1CC=C(c2ccc(F)cc2)CC1,490.0,active,552.6500000000002,3.511700000000002,2.0,4.0
CHEMBL2323543,O=C(CCN1CCc2cccc3c2C1CNC3=O)NCC(=O)N1CC=C(c2ccc(F)cc2)CC1,1100.0,intermediate,476.5520000000003,2.2905000000000006,2.0,4.0
CHEMBL204849,O=C(O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,80.0,active,306.3210000000001,2.751400000000001,3.0,2.0
CHEMBL201883,Cc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,200.0,active,276.33900000000006,3.361620000000002,2.0,1.0
CHEMBL3617778,CCCCNCc1ccc(-c2cc3c4c(c[nH]c4c2)C(=O)NNC3=O)cc1,35.44,active,362.43300000000005,3.1128,4.0,3.0
CHEMBL3617777,CC(C)NCc1ccc(-c2cc3c4c(c[nH]c4c2)C(=O)NNC3=O)cc1,465.4,active,348.406,2.7211,4.0,3.0
CHEMBL3764640,CN(C)Cc1ccc(C2c3n[nH]c(=O)c4cccc(c34)NC2c2ccccc2)cc1,5.85,active,396.494,4.283400000000003,2.0,4.0
CHEMBL3763243,O=c1[nH]nc2c3c(cccc13)NC(c1ccc(CN3CCC3)cc1)C2c1ccccc1,3.63,active,408.50500000000017,4.427500000000004,2.0,4.0
CHEMBL370692,O=C1c2ccccc2C(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,180.0,active,381.3910000000001,3.7268000000000017,1.0,5.0
CHEMBL3092541,O=C(CCc1nc2ccccc2c(=O)[nH]1)NC1CCc2ccccc21,510.0,active,333.3910000000001,2.6594000000000007,2.0,3.0
CHEMBL4162843,COc1cccc2c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c3ccccc3nc12,970.0,active,459.5090000000001,5.7824000000000035,3.0,5.0
CHEMBL4174599,Cc1ccc2nc3ccccc3c(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3)c2c1,100.0,active,443.5100000000002,6.082220000000004,3.0,4.0
CHEMBL4168839,NC(=O)c1cccc2[nH]c(-c3cccc(N)c3)nc12,30.0,active,252.277,1.9109999999999998,3.0,3.0
CHEMBL134197,NC(=O)c1cccc2[nH]c(-c3ccc(N)cc3)nc12,30.0,active,252.277,1.9109999999999998,3.0,3.0
CHEMBL589257,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncccn2)CC1,3.1,active,501.3490000000003,3.4167000000000014,1.0,6.0
CHEMBL603457,O=C(c1ncc[nH]1)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,3.1,active,517.3480000000002,2.9856000000000007,2.0,5.0
CHEMBL596933,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCCNCC1,2.6,active,437.30200000000025,3.099800000000001,2.0,4.0
