molecule_chembl_id,canonical_smiles,standard_type,relation,standard_value,standard_units
CHEMBL1767062,O=C(O)c1cccc2c(=O)[nH]ccc12,IC50,'>',25000.0,nM
CHEMBL1767066,Nc1cccc2c(=O)n(CCC(=O)O)ccc12,IC50,'=',550.0,nM
CHEMBL372778,O=C(c1cccc(Cc2nnc(O)c3ccccc23)c1)N1CCCN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CC1,PF50,'=',3.2,
CHEMBL381821,CCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,PF50,'=',2.6,
CHEMBL397399,CC(C)(C)OC(=O)Cc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,IC50,'=',29.0,nM
CHEMBL526668,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNC1,EC50,'=',17.0,nM
CHEMBL3764573,Cc1cccc2c(=O)[nH]c(-c3ccc(CN4CC(N(C)C)C4)cc3)cc12,IC50,,,
CHEMBL361054,O=c1[nH]c(=O)n(CCCCN2CC=C(c3ccccc3)CC2)c2cccc(F)c12,IC50,'=',60.0,nM
CHEMBL3764190,CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1,IC50,'=',2.63,nM
CHEMBL395092,Cc1nc2ccccc2c(=O)[nH]1,IC50,'=',5600.0,nM
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,IC50,'=',84.96,nM
CHEMBL320031,O=c1[nH]c2cccnc2c2ccccc12,IC50,'=',116.0,nM
CHEMBL480227,O=C1NCCn2c(CN3CCCCC3)cc3cccc1c32,IC50,'=',109.0,nM
CHEMBL481403,CCOC(=O)c1ccc(CCc2nc3cccc4c3n2CCNC4=O)cc1,IC50,'=',97.0,nM
CHEMBL559385,O=C(c1cc2[nH]c(=O)c3ccccc3n2n1)N1CCC(CN2CCOCC2)CC1,IC50,'=',1100.0,nM
CHEMBL564898,CC(C)(C)c1ccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)cc1,IC50,'>',1000.0,nM
CHEMBL2425971,CCc1nc2cc(Cc3ccc(C(=O)NO)cc3)ccc2c(=O)n1CCc1ccccc1,Inhibition,,,%
